company,person,position,source,notes
"AgriCapture, Inc. ",Tyler Hull,Chief Executive Officer,https://agricapture.com/about,Executive Leadership
"AgriCapture, Inc. ",John Farris,Founder & Executive Chairman,https://agricapture.com/about,Executive Leadership
"AgriCapture, Inc. ",John Lanahan,Director of Demand,https://agricapture.com/about,
"AgriCapture, Inc. ",Wally Macey,Director of Technology,https://agricapture.com/about,
"AgriCapture, Inc. ",Ashton Moody,Director of Product,https://agricapture.com/about,
"AgriCapture, Inc. ",Jennifer Wells,Director of Strategic Partnerships,https://agricapture.com/about,
"AgriCapture, Inc. ",Josh Scott,Controller,https://agricapture.com/about,
Aquila Climate Technology Holding Pte. Ltd.,Stefano Pellegrino,CEO - Vietnam,https://aquila.is/about,Position is Vietnam-specific per source page
Aquila Climate Technology Holding Pte. Ltd.,Ollie Smeenk,Head of IoT Network - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Jarek Tkaczyk,Chief Technology Officer - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Juvjen Mani,Lending Director - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Giando Zappia,President - Vietnam,https://aquila.is/about,
Ata Marie Group Ltd,George Kuru,Manager of Carbon Services and IT Systems,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Alex Thorp,Manager Consulting,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Tony Wood,Manager Operations,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Dadan Setiawan,GIS & Remote Sensing Team Leader,https://www.ata-marie.com/our-team,Indonesian team
Ata Marie Group Ltd,Sofyan Iskandar,Community Engagement Team Leader,https://www.ata-marie.com/our-team,Indonesian team
Ata Marie Group Ltd,Dadi Ardiansyah,Forest Survey and Biodiversity Team Leader,https://www.ata-marie.com/our-team,Indonesian team
CERPD Co. Ltd.,Kim Jong-bum,Representative Director (대표이사),https://www.cerpd.com/,Korean name on page: 김종범
ClimatePartner Impact GmbH,Robin Stoffers,Managing Director,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Nirmal Beura,Head of Project Development,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Guillaume Leclerc,Earth Observation Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Usman Tahir,Earth Observation Manager,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Nikolas Ludwig,Portfolio Management Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Fabio Staccone,Finance & Controlling Manager,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Paulina de los Santos,Marketing/Communications Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Moschda Djalalyar,Partnerships and Market Development Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Olga Dickmann,Impact Investing & Business Development Africa Team Lead,https://climatepartnerimpact.com/about-us,
ClimeCo,William E. Flederbach Jr.,President & CEO,https://climeco.com/about-us/,"Co-founders also named on page: William E. Flederbach Jr., Yuda Saydun, and Markus Althausen (founded 2009). Only Flederbach has a current title listed."
Forest Carbon (registered as Equator Group Pte Ltd),Jeffrey Chatellier,Chief Executive Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Devan Wardwell,Chief Investment Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Mary Osmond,Director of Legal & External Affairs,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Timothy Rann,Chief Financial Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Tom Houston,Chairman,https://forestcarbon.com/about,
Gree Energy Limited,Nicolas Stirer,CEO and Founder,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Benoît Meneau,Chief Financial Officer,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Kritika Dhingra,Head of Operations,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Aryo Bimo Oetomo,Technical Manager,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Fahreza Hidayat,Head of Sustainability,https://gree-energy.com/team/,Core Team
